Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,22.0,1.0,22.0,22.0,0.1,523.1848028155678,0.0,0.0,0.005736351013183594,,,,,,,,,,,,,,,,,,,,,225.66968696231535,164.05911075200393,483.1522004732767,-0.0337170528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,39.0,2.0,17.0,39.0,0.1,272.2499120478472,0.0,0.0,2.042057752609253,,,,,,,,,,,,,,,,,,,,,113.18684122920043,90.89431355754277,258.14523930097255,-0.033681591000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,69.0,3.0,30.0,69.0,0.1,853.1862112356132,0.0,0.0,4.940324783325195,,,,,,,,,,,,,,,,,,,,,407.4471389351303,241.70508951094425,745.7933573666709,-0.026730900000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,88.0,4.0,19.0,88.0,0.1,431.38414466391134,0.0,0.0,6.945894479751587,,,,,,,,,,,,,,,,,,,,,195.01390519641643,133.981206741162,402.3380294629041,-0.024948900000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,124.0,5.0,36.0,124.0,0.1,1019.7260565147596,0.0,0.0,10.407991170883179,,,,,,,,,,,,,,,,,,,,,457.795390892507,301.57780161019963,872.2780489679185,-0.03708716407200001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,165.0,6.0,41.0,165.0,0.1,1230.4346997144062,0.0,0.0,14.48399829864502,,,,,,,,,,,,,,,,,,,,,573.149021806977,338.10627954505975,1015.6551380201468,-0.03366359100000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,234.0,7.0,69.0,234.0,0.1,2642.1068367900434,0.0,0.0,20.702086448669434,,,,,,,,,,,,,,,,,,,,,1153.6401267567376,605.4162726549865,1883.5783586653345,-0.023184720000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,291.0,8.0,57.0,291.0,0.1,1999.4302155830087,0.0,0.0,25.94689154624939,,,,,,,,,,,,,,,,,,,,,963.7757093436682,489.80952277710026,1483.1256997869368,-0.026730900000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,344.0,9.0,53.0,344.0,0.1,2010.4475798150406,0.0,0.0,30.843770742416382,,,,,,,,,,,,,,,,,,,,,918.1887716918819,525.0711819159616,1554.7469960395288,-0.0319350528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,385.0,10.0,41.0,385.0,0.1,1417.5966050640045,0.0,0.0,34.7304253578186,,,,,,,,,,,,,,,,,,,,,696.3677025253471,369.66625766064453,1155.071775358241,-0.017910000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,419.0,11.0,34.0,419.0,0.1,1017.2015590849667,0.0,0.0,38.21843242645264,,,,,,,,,,,,,,,,,,,,,481.08571637263697,286.4492903593733,870.9646112827975,-0.021384720000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,442.0,12.0,23.0,442.0,0.1,569.1238280571861,0.0,0.0,40.602845907211304,,,,,,,,,,,,,,,,,,,,,264.47059273916403,173.29799070444756,518.616051144963,-0.024930900000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,540.0,13.0,98.0,540.0,0.1,3920.3730703574242,0.0,0.0,49.36176300048828,,,,,,,,,,,,,,,,,,,,,1593.9093547004568,743.1205365493572,2406.225796093234,-0.023166720000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,626.0,14.0,86.0,626.0,0.1,3868.258648510554,0.0,0.0,57.07103729248047,,,,,,,,,,,,,,,,,,,,,1591.8610643427967,852.5940633639876,2555.155257755004,-0.031899411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,657.0,15.0,31.0,657.0,0.1,753.0325696345968,0.0,0.0,60.063467264175415,,,,,,,,,,,,,,,,,,,,,318.20756435615743,239.9150794542628,667.6749563148536,-0.05418856052496721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,0.0,730.0,16.0,73.0,730.0,0.1,2828.1242137658064,0.0,0.0,66.90073776245117,,,,,,,,,,,,,,,,,,,,,1215.079770196644,643.4103904449933,1980.528498645296,-0.033699411000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,0.0,790.0,17.0,60.0,790.0,0.1,2268.1382403337566,0.0,0.0,72.42641067504883,,,,,,,,,,,,,,,,,,,,,1027.3724002076515,550.5437873196598,1685.2513011010756,-0.023148900000000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,844.0,18.0,54.0,844.0,0.1,1446.5813525050528,0.0,0.0,77.42352437973022,,,,,,,,,,,,,,,,,,,,,590.7064431962598,365.34707043391484,1150.494718068638,-0.030170872800000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,864.0,19.0,20.0,864.0,0.1,414.95987802283855,0.0,0.0,79.49940228462219,,,,,,,,,,,,,,,,,,,,,183.21399320433687,134.99782458575632,385.99844850726566,-0.03191741100000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,900.0,20.0,36.0,900.0,0.1,1093.8581531688537,0.0,0.0,83.15778112411499,,,,,,,,,,,,,,,,,,,,,504.4689014073462,308.0497552581777,930.7717056037229,-0.031899411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,49.0,1.0,49.0,949.0,0.1,1761.8606095248715,0.0,0.0,172.36802053451538,,,,,,,,,,,,,,,,,,,,,833.9028691651295,444.3599822342808,1380.724623644483,-0.024966720000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,88.0,2.0,39.0,988.0,0.1,1237.1023100462332,0.0,0.0,176.25226354599,,,,,,,,,,,,,,,,,,,,,604.238917283956,317.82892547663914,1021.7826061682384,-0.016128000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,116.0,3.0,28.0,1016.0,0.1,774.7760341789416,0.0,0.0,179.0635209083557,,,,,,,,,,,,,,,,,,,,,349.19428031565,235.98536166454312,690.7475111626973,-0.030170872800000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,187.0,4.0,71.0,1087.0,0.1,2183.5761755325493,0.0,0.0,185.51864290237427,,,,,,,,,,,,,,,,,,,,,915.0469500351802,466.861595501121,1565.0370788772282,-0.049138792721100014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,271.0,5.0,84.0,1171.0,0.1,3532.033417630976,0.0,0.0,193.09340071678162,,,,,,,,,,,,,,,,,,,,,1495.51384236257,757.9423603154823,2322.0097847632037,-0.024930900000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,360.0,6.0,89.0,1260.0,0.1,3517.2780919978204,0.0,0.0,201.29463577270508,,,,,,,,,,,,,,,,,,,,,1459.1671748512856,735.7057552547509,2263.666265054765,-0.03188159100000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,435.0,7.0,75.0,1335.0,0.1,2852.3222848623395,0.0,0.0,208.08939599990845,,,,,,,,,,,,,,,,,,,,,1221.2215801065734,648.4257835007447,1975.7229872282503,-0.033699411000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,488.0,8.0,53.0,1388.0,0.1,1825.7283786443766,0.0,0.0,213.0098807811737,,,,,,,,,,,,,,,,,,,,,879.6937997798013,435.89856875185166,1387.0938320182445,-0.024930900000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,549.0,9.0,61.0,1449.0,0.1,2368.3638109236645,0.0,0.0,218.5462396144867,,,,,,,,,,,,,,,,,,,,,1031.8982505077447,607.0912441947954,1774.2127110641152,-0.03886916407200001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,569.0,10.0,20.0,1469.0,0.1,411.68147442832503,0.0,0.0,220.6114799976349,,,,,,,,,,,,,,,,,,,,,180.46174276868837,133.9603325983913,383.2151064938142,-0.03366359100000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,621.0,11.0,52.0,1521.0,0.1,1533.4132852790383,0.0,0.0,225.65389800071716,,,,,,,,,,,,,,,,,,,,,685.5091049698292,367.17852771365,1200.845373629963,-0.0319350528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,647.0,12.0,26.0,1547.0,0.1,682.6699943275065,0.0,0.0,228.26560926437378,,,,,,,,,,,,,,,,,,,,,322.85760110697163,199.20775471890815,610.8836017137985,-0.023166720000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,680.0,13.0,33.0,1580.0,0.1,910.1515858558142,0.0,0.0,231.38626098632812,,,,,,,,,,,,,,,,,,,,,412.37942678858053,264.55903680044713,789.7830578671388,-0.0319350528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,766.0,14.0,86.0,1666.0,0.1,3779.6324080188133,0.0,0.0,238.98416781425476,,,,,,,,,,,,,,,,,,,,,1554.7578470772935,819.338745605078,2492.134128693336,-0.023184720000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,862.0,15.0,96.0,1762.0,0.1,3153.2594600654893,0.0,0.0,247.4805645942688,,,,,,,,,,,,,,,,,,,,,1144.0154568256228,633.8714708022376,2096.729539345871,-0.03879788227200001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,934.0,16.0,72.0,1834.0,0.1,2844.3081830225656,0.0,0.0,254.15341591835022,,,,,,,,,,,,,,,,,,,,,1219.9675399812077,646.4393971630489,2005.8479280033625,-0.030152872800000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,975.0,17.0,41.0,1875.0,0.1,1327.2193050055437,0.0,0.0,257.95003175735474,,,,,,,,,,,,,,,,,,,,,602.1615016722194,375.53504593010206,1102.2682270379896,-0.042362416890000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,1029.0,18.0,54.0,1929.0,0.1,1881.4693692014687,0.0,0.0,262.8534936904907,,,,,,,,,,,,,,,,,,,,,809.8941426094102,476.43362706389223,1473.448150385049,-0.023148900000000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,1077.0,19.0,48.0,1977.0,0.1,1638.1845530337403,0.0,0.0,267.2839343547821,,,,,,,,,,,,,,,,,,,,,755.1341334215325,431.6086399139698,1301.6224558630795,-0.033681591000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,1111.0,20.0,34.0,2011.0,0.1,1057.2916102826762,0.0,0.0,270.713308095932,,,,,,,,,,,,,,,,,,,,,494.5772285294126,296.9788337183865,907.188401778059,-0.024930900000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,28.0,1.0,28.0,2039.0,0.1,769.0062390092158,0.0,0.0,365.67000222206116,,,,,,,,,,,,,,,,,,,,,347.09337604844546,227.56208387863202,685.4607628973075,-0.030170872800000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,65.0,2.0,37.0,2076.0,0.1,1213.301148557571,0.0,0.0,369.1651210784912,,,,,,,,,,,,,,,,,,,,,567.2165576499324,339.00519809527964,1023.8047364831097,-0.024930900000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,93.0,3.0,28.0,2104.0,0.1,643.7154270151444,0.0,0.0,371.9241850376129,,,,,,,,,,,,,,,,,,,,,284.93792811944024,203.4736407221197,575.3829273968996,-0.04056277509000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,140.0,4.0,47.0,2151.0,0.1,1692.4761213289776,0.0,0.0,376.47056460380554,,,,,,,,,,,,,,,,,,,,,782.3155101651021,439.25267882544006,1351.6863907268441,-0.021384720000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,211.0,5.0,71.0,2222.0,0.1,2459.6207022301764,0.0,0.0,382.8248224258423,,,,,,,,,,,,,,,,,,,,,1015.5954655055049,580.4641363753476,1773.8474867067312,-0.059359186883709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,247.0,6.0,36.0,2258.0,0.1,1226.7578052680908,0.0,0.0,386.2539072036743,,,,,,,,,,,,,,,,,,,,,590.7334795508201,330.10882243363113,1034.6839635035149,-0.017910000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,316.0,7.0,69.0,2327.0,0.1,2537.1138294574444,0.0,0.0,392.43923568725586,,,,,,,,,,,,,,,,,,,,,1128.1588326962776,590.0068704844731,1794.3926486042355,-0.030170872800000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,459.0,8.0,143.0,2470.0,0.1,6003.815867118882,0.0,0.0,405.19185876846313,,,,,,,,,,,,,,,,,,,,,2120.1243959709464,907.2664965267061,3141.6882403775567,-0.023148900000000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
